time, id1, id2, amount, message
2015-11-01 17:38:25, 1, 2, 23.74, 🦄 
2015-11-01 17:38:25, 4, 1, 23.74, 🦄 
2015-11-01 17:38:25, 3, 2, 23.74, 🦄 
2015-11-01 17:38:25, 5, 6, 23.74, 🦄 
2015-11-01 17:38:25, 8, 7, 23.74, 🦄 
2015-11-01 17:38:25, 5, 2, 23.74, 🦄 
2015-11-01 17:38:25, 10, 9, 23.74, 🦄 
2015-11-01 17:38:25, 10, 11, 23.74, 🦄 
2015-11-01 17:38:25, 9, 8, 23.74, 🦄 
2015-11-01 17:38:25, 8, 12, 23.74, 🦄 
2015-11-01 17:38:25, 11, 13, 23.74, 🦄 
2015-11-01 17:38:25, 13, 14, 23.74, 🦄 
2015-11-01 17:38:25, 12, 15, 23.74, 🦄 
2015-11-01 17:38:25, 5, 16, 23.74, 🦄 
2015-11-01 17:38:25, 17, 2, 23.74, 🦄 
2015-11-01 17:38:25, 17, 4, 23.74, 🦄 
2015-11-01 17:38:25, 19, 19, 23.74, 🦄 
2015-11-01 17:38:25, 19, 20, 23.74, 🦄 
2015-11-01 17:38:25, 19, 18, 23.74, 🦄 
